# HelioClim-3 Archive Database of Solar Irradiance v5 (derived from satellite data) and meteorological data (MERRA-2/NASA and GFS/NCEP),,,,
# Provider;MINES ParisTech / Armines / Transvalor (France), National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center and National Centers for Environmental Prediction (NCEP),,,
# More information at;http://www.soda-pro.com, http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2 and http://www.emc.ncep.noaa.gov/GFS/doc.php,,,
# Site latitude (positive means North);0.329,,,,
# Site longitude (positive means East);32.499,,,,
# Elevation (m);1224,,,,
# Date beginning;2005-01-01,,,,
# Date end;2005-12-31,,,,
# Meteo Data;MERRA-2 data from 2005-01-01 to 2005-12-31 / no GFS data for this period,,,,
# Time reference (hour);UT,,,,
# Summarization (period of integration);Hour (h),,,,
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization,,,,
# Take into account the shadows due to relief?;1 (yes, with horizon computed from SRTM),,,
# Calibration;None,,,,
# Minimum Sun Elevation;12,,,,
,,,,
# Columns:,,,,
# Irradiation (Wh/m2);Irradiation over the period (-999 if no data),,,,
# Clear-Sky (Wh/m2);Irradiation over the period if the sky were clear,,,,
# Top of Atmosphere (Wh/m2);Irradiation over the period at the top of the atmosphere (extraterrestrial),,,,
# Code;0: no data, 1: sun below horizon, 2: satellite assessment, 5: interpolation in time, 6: forecast
# Temperature (K);Temperature at 2 m above ground,,,,
# Relative humidity (%);Relative humidity at 2 m above ground,,,,
# Pressure (hPa);Pressure at ground level,,,,
# Wind speed (m/s);Wind speed at 10 m above ground,,,,
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...),,,
# Rainfall (kg/m2);Rainfall (= rain depth in mm),,,,
# Snowfall (kg/m2);Snowfall,,,,
# Snow depth (m);Snow depth,,,,
,,,,
# Irradiation values from HelioClim-3 and meteorological data (MERRA-2 and GFS),,,,
# Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth,,,,
2005-01-01;01:00;0;0;0;1;294.01;81.87;885.54;2.05;153.62;0.242459;0.000000;0.000000,,,,
2005-01-01;02:00;0;0;0;1;293.87;82.46;885.89;2.00;135.61;0.261146;0.000000;0.000000,,,,
2005-01-01;03:00;0;0;0;1;293.51;84.27;886.51;2.18;119.41;0.285293;0.000000;0.000000,,,,
2005-01-01;04:00;0;0;2;5;293.12;86.39;887.12;2.47;109.20;0.300519;0.000000;0.000000,,,,
2005-01-01;05:00;63;93;205;2;294.03;84.93;887.66;2.78;103.56;0.286572;0.000000;0.000000,,,,
2005-01-01;06:00;286;329;530;2;295.82;77.17;888.16;3.68;103.50;0.335226;0.000000;0.000000,,,,
2005-01-01;07:00;566;574;817;2;297.16;70.43;888.30;4.07;107.13;0.345338;0.000000;0.000000,,,,
2005-01-01;08:00;748;778;1049;2;298.09;65.67;888.29;4.01;107.68;0.272783;0.000000;0.000000,,,,
2005-01-01;09:00;839;922;1210;2;298.82;61.46;887.97;3.73;107.21;0.215732;0.000000;0.000000,,,,
2005-01-01;10:00;922;994;1287;2;299.45;57.83;887.35;3.22;107.88;0.136598;0.000000;0.000000,,,,
2005-01-01;11:00;707;987;1277;2;299.87;54.87;886.54;2.55;110.49;0.088687;0.000000;0.000000,,,,
2005-01-01;12:00;192;904;1179;2;300.08;52.90;885.68;1.89;116.61;0.049882;0.000000;0.000000,,,,
2005-01-01;13:00;450;751;1001;2;300.14;51.60;884.94;1.43;125.60;0.030500;0.000000;0.000000,,,,
2005-01-01;14:00;532;542;755;2;299.93;51.26;884.74;1.24;136.41;0.010831;0.000000;0.000000,,,,
2005-01-01;15:00;275;296;456;2;299.45;53.25;884.98;1.23;151.43;0.002620;0.000000;0.000000,,,,
2005-01-01;16:00;49;63;130;5;297.81;64.59;885.43;1.41;172.88;0.002675;0.000000;0.000000,,,,
2005-01-01;17:00;0;0;0;1;295.80;71.42;885.84;2.01;189.12;0.000995;0.000000;0.000000,,,,
2005-01-01;18:00;0;0;0;1;295.19;74.11;886.28;2.20;194.28;0.000585;0.000000;0.000000,,,,
2005-01-01;19:00;0;0;0;1;294.82;76.16;886.56;2.33;199.12;0.000859;0.000000;0.000000,,,,
2005-01-01;20:00;0;0;0;1;294.19;78.50;886.54;2.49;203.91;0.001158;0.000000;0.000000,,,,
2005-01-01;21:00;0;0;0;1;293.67;80.83;886.20;2.59;208.45;0.000390;0.000000;0.000000,,,,
2005-01-01;22:00;0;0;0;1;293.47;81.79;885.79;2.46;210.37;0.001123;0.000000;0.000000,,,,
2005-01-01;23:00;0;0;0;1;293.44;81.82;885.47;2.01;209.08;0.002618;0.000000;0.000000,,,,
2005-01-01;24:00;0;0;0;1;293.63;80.65;885.42;1.44;206.19;0.007346;0.000000;0.000000,,,,
2005-01-02;01:00;0;0;0;1;293.56;80.74;885.65;0.86;199.15;0.016333;0.000000;0.000000,,,,
2005-01-02;02:00;0;0;0;1;293.38;81.68;886.02;0.40;183.87;0.026381;0.000000;0.000000,,,,
2005-01-02;03:00;0;0;0;1;292.99;83.74;886.39;0.16;148.82;0.030158;0.000000;0.000000,,,,
2005-01-02;04:00;0;0;1;5;292.73;85.16;886.74;0.19;83.00;0.037441;0.000000;0.000000,,,,
2005-01-02;05:00;74;105;200;2;293.48;84.57;887.20;0.31;64.19;0.037926;0.000000;0.000000,,,,
2005-01-02;06:00;323;355;525;2;295.62;74.18;887.71;1.07;71.14;0.030858;0.000000;0.000000,,,,
2005-01-02;07:00;595;601;814;2;297.76;62.83;887.85;2.24;67.88;0.027785;0.000000;0.000000,,,,
2005-01-02;08:00;796;805;1047;2;299.03;56.52;887.68;2.86;60.69;0.017591;0.000000;0.000000,,,,
2005-01-02;09:00;935;949;1208;2;300.10;50.33;887.09;3.17;53.65;0.011312;0.000000;0.000000,,,,
2005-01-02;10:00;985;1020;1288;2;300.95;44.75;886.25;3.31;49.93;0.005557;0.000000;0.000000,,,,
2005-01-02;11:00;1005;1013;1279;2;301.55;39.98;885.27;3.27;47.17;0.002904;0.000000;0.000000,,,,
2005-01-02;12:00;881;928;1182;2;301.86;36.45;884.26;3.06;44.00;0.000734;0.000000;0.000000,,,,
2005-01-02;13:00;758;773;1005;2;301.91;33.93;883.52;2.77;43.30;0.000004;0.000000;0.000000,,,,
2005-01-02;14:00;548;559;760;2;301.55;33.18;883.16;2.34;42.92;0.000000;0.000000;0.000000,,,,
2005-01-02;15:00;284;308;462;2;301.00;33.92;883.20;1.77;40.24;0.000000;0.000000;0.000000,,,,
2005-01-02;16:00;53;68;135;5;299.20;41.15;883.50;1.20;34.96;0.000000;0.000000;0.000000,,,,
2005-01-02;17:00;0;0;0;1;298.91;36.58;883.87;0.50;24.67;0.000000;0.000000;0.000000,,,,
2005-01-02;18:00;0;0;0;1;298.82;34.59;884.36;0.18;338.22;0.000000;0.000000;0.000000,,,,
2005-01-02;19:00;0;0;0;1;297.95;36.66;884.73;0.19;342.08;0.000000;0.000000;0.000000,,,,
2005-01-02;20:00;0;0;0;1;296.91;39.39;884.83;0.48;9.28;0.000000;0.000000;0.000000,,,,
2005-01-02;21:00;0;0;0;1;295.54;44.50;884.70;0.95;13.08;0.000000;0.000000;0.000000,,,,
2005-01-02;22:00;0;0;0;1;294.05;50.47;884.38;1.58;17.74;0.000000;0.000000;0.000000,,,,
2005-01-02;23:00;0;0;0;1;292.47;57.51;884.03;2.25;21.55;0.000000;0.000000;0.000000,,,,
2005-01-02;24:00;0;0;0;1;291.16;63.64;883.85;2.87;24.00;0.000000;0.000000;0.000000,,,,
2005-01-03;01:00;0;0;0;1;290.24;67.50;883.96;3.32;27.45;0.000000;0.000000;0.000000,,,,
2005-01-03;02:00;0;0;0;1;289.58;70.15;884.29;3.54;31.45;0.000000;0.000000;0.000000,,,,
2005-01-03;03:00;0;0;0;1;289.00;72.90;884.73;3.53;35.46;0.000000;0.000000;0.000000,,,,
2005-01-03;04:00;0;0;1;5;288.46;75.86;885.24;3.31;36.30;0.000000;0.000000;0.000000,,,,
2005-01-03;05:00;65;87;200;2;290.16;71.52;885.83;2.83;30.45;0.000000;0.000000;0.000000,,,,
2005-01-03;06:00;293;316;525;2;292.63;60.08;886.42;2.53;21.96;0.000000;0.000000;0.000000,,,,
2005-01-03;07:00;544;558;814;2;295.66;49.23;886.66;2.61;25.35;0.000000;0.000000;0.000000,,,,
2005-01-03;08:00;745;763;1048;2;298.80;36.56;886.56;3.81;28.76;0.000000;0.000000;0.000000,,,,
2005-01-03;09:00;896;908;1209;2;300.63;30.95;886.06;4.21;22.16;0.000000;0.000000;0.000000,,,,
2005-01-03;10:00;972;981;1288;2;301.82;27.76;885.28;4.29;18.43;0.000000;0.000000;0.000000,,,,
2005-01-03;11:00;968;976;1280;2;302.62;25.76;884.34;4.17;17.68;0.000000;0.000000;0.000000,,,,
2005-01-03;12:00;882;893;1183;2;303.04;24.75;883.33;3.91;18.25;0.000000;0.000000;0.000000,,,,
2005-01-03;13:00;734;739;1006;2;303.04;24.53;882.50;3.60;19.79;0.000000;0.000000;0.000000,,,,
2005-01-03;14:00;516;526;760;2;302.59;25.71;882.12;3.23;22.39;0.000000;0.000000;0.000000,,,,
2005-01-03;15:00;259;280;462;2;301.73;28.11;882.29;2.72;26.06;0.000000;0.000000;0.000000,,,,
2005-01-03;16:00;44;57;135;5;298.57;43.18;882.74;2.31;30.94;0.000000;0.000000;0.000000,,,,
2005-01-03;17:00;0;0;0;1;297.65;38.70;883.25;2.06;33.81;0.000000;0.000000;0.000000,,,,
2005-01-03;18:00;0;0;0;1;297.80;35.46;883.83;1.57;31.89;0.000000;0.000000;0.000000,,,,
2005-01-03;19:00;0;0;0;1;298.01;32.31;884.26;1.09;22.85;0.000000;0.000000;0.000000,,,,
2005-01-03;20:00;0;0;0;1;297.72;31.54;884.39;0.86;12.88;0.000000;0.000000;0.000000,,,,
2005-01-03;21:00;0;0;0;1;296.10;36.54;884.40;1.06;16.83;0.000000;0.000000;0.000000,,,,
2005-01-03;22:00;0;0;0;1;293.98;44.90;884.30;1.54;25.62;0.000000;0.000000;0.000000,,,,
2005-01-03;23:00;0;0;0;1;292.17;53.08;884.13;2.08;28.79;0.000000;0.000000;0.000000,,,,
2005-01-03;24:00;0;0;0;1;290.78;59.84;884.02;2.38;26.85;0.000000;0.000000;0.000000,,,,
2005-01-04;01:00;0;0;0;1;289.77;64.49;884.16;2.33;23.83;0.000000;0.000000;0.000000,,,,
2005-01-04;02:00;0;0;0;1;289.21;67.13;884.60;2.01;21.24;0.000000;0.000000;0.000000,,,,
2005-01-04;03:00;0;0;0;1;289.06;67.93;885.23;1.53;16.05;0.000000;0.000000;0.000000,,,,
2005-01-04;04:00;0;0;1;5;288.99;68.94;885.96;1.18;1.54;0.000000;0.000000;0.000000,,,,
