# HelioClim-3 Archive Database of Solar Irradiance v5 (derived from satellite data) and meteorological data (MERRA-2/NASA and GFS/NCEP),,,,
# Provider;MINES ParisTech / Armines / Transvalor (France), National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center and National Centers for Environmental Prediction (NCEP),,,
# More information at;http://www.soda-pro.com, http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2 and http://www.emc.ncep.noaa.gov/GFS/doc.php,,,
# Site latitude (positive means North);0.329,,,,
# Site longitude (positive means East);32.499,,,,
# Elevation (m);1224,,,,
# Date beginning;2005-01-01,,,,
# Date end;2005-12-31,,,,
# Meteo Data;MERRA-2 data from 2005-01-01 to 2005-12-31 / no GFS data for this period,,,,
# Time reference (hour);UT,,,,
# Summarization (period of integration);Hour (h),,,,
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization,,,,
# Take into account the shadows due to relief?;1 (yes, with horizon computed from SRTM),,,
# Calibration;None,,,,
# Minimum Sun Elevation;12,,,,
,,,,
# Columns:,,,,
# Irradiation (Wh/m2);Irradiation over the period (-999 if no data),,,,
# Clear-Sky (Wh/m2);Irradiation over the period if the sky were clear,,,,
# Top of Atmosphere (Wh/m2);Irradiation over the period at the top of the atmosphere (extraterrestrial),,,,
# Code;0: no data, 1: sun below horizon, 2: satellite assessment, 5: interpolation in time, 6: forecast
# Temperature (K);Temperature at 2 m above ground,,,,
# Relative humidity (%);Relative humidity at 2 m above ground,,,,
# Pressure (hPa);Pressure at ground level,,,,
# Wind speed (m/s);Wind speed at 10 m above ground,,,,
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...),,,
# Rainfall (kg/m2);Rainfall (= rain depth in mm),,,,
# Snowfall (kg/m2);Snowfall,,,,
# Snow depth (m);Snow depth,,,,
,,,,
# Irradiation values from HelioClim-3 and meteorological data (MERRA-2 and GFS),,,,
# Date;Time;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth,,,,
2005-01-04;05:00;60;78;195;2;290.14;70.08;886.75;1.03;343.63;0.000000;0.000000;0.000000,,,,
2005-01-04;06:00;279;297;520;2;292.51;59.87;887.50;1.12;328.85;0.000000;0.000000;0.000000,,,,
2005-01-04;07:00;523;536;810;2;295.97;50.01;887.77;0.68;21.95;0.000002;0.000000;0.000000,,,,
2005-01-04;08:00;722;738;1045;2;299.13;43.64;887.55;1.40;66.24;0.000099;0.000000;0.000000,,,,
2005-01-04;09:00;846;882;1208;2;300.70;40.79;886.91;1.52;62.87;0.000534;0.000000;0.000000,,,,
2005-01-04;10:00;880;954;1289;2;301.71;38.32;886.09;1.78;65.94;0.002014;0.000000;0.000000,,,,
2005-01-04;11:00;941;949;1281;2;302.35;36.51;885.18;2.01;75.52;0.002091;0.000000;0.000000,,,,
2005-01-04;12:00;854;866;1186;2;302.58;35.74;884.29;2.18;88.46;0.002165;0.000000;0.000000,,,,
2005-01-04;13:00;690;714;1010;2;302.42;36.08;883.67;2.41;102.66;0.002302;0.000000;0.000000,,,,
2005-01-04;14:00;464;506;765;2;301.88;37.48;883.58;2.79;117.19;0.001879;0.000000;0.000000,,,,
2005-01-04;15:00;246;266;468;2;300.69;42.92;883.98;3.13;132.75;0.000108;0.000000;0.000000,,,,
2005-01-04;16:00;43;55;140;5;297.66;58.92;884.64;3.23;149.09;0.000004;0.000000;0.000000,,,,
2005-01-04;17:00;0;0;0;1;295.71;65.15;885.33;3.71;159.41;0.000001;0.000000;0.000000,,,,
2005-01-04;18:00;0;0;0;1;295.26;66.47;886.05;3.88;166.33;0.000000;0.000000;0.000000,,,,
2005-01-04;19:00;0;0;0;1;294.76;67.55;886.55;3.86;171.74;0.000000;0.000000;0.000000,,,,
2005-01-04;20:00;0;0;0;1;294.30;68.46;886.54;3.83;174.93;0.000000;0.000000;0.000000,,,,
2005-01-04;21:00;0;0;0;1;293.89;69.65;886.20;3.86;174.66;0.000000;0.000000;0.000000,,,,
2005-01-04;22:00;0;0;0;1;293.57;71.72;885.80;3.88;170.41;0.000002;0.000000;0.000000,,,,
2005-01-04;23:00;0;0;0;1;293.37;74.61;885.47;3.76;162.00;0.000059;0.000000;0.000000,,,,
2005-01-04;24:00;0;0;0;1;293.25;77.23;885.31;3.61;151.36;0.001469;0.000000;0.000000,,,,
2005-01-05;01:00;0;0;0;1;293.24;79.21;885.49;3.43;142.39;0.004423;0.000000;0.000000,,,,
2005-01-05;02:00;0;0;0;1;293.31;80.25;885.93;3.18;138.19;0.014687;0.000000;0.000000,,,,
2005-01-05;03:00;0;0;0;1;293.53;80.09;886.45;2.82;138.31;0.038057;0.000000;0.000000,,,,
2005-01-05;04:00;0;0;1;5;293.90;78.89;886.84;2.18;139.51;0.073348;0.000000;0.000000,,,,
2005-01-05;05:00;53;81;195;2;294.94;78.22;887.28;1.31;142.27;0.114819;0.000000;0.000000,,,,
2005-01-05;06:00;270;305;521;2;297.10;68.21;887.81;1.09;146.58;0.157244;0.000000;0.000000,,,,
2005-01-05;07:00;524;545;811;2;298.71;59.95;888.02;1.11;148.00;0.159248;0.000000;0.000000,,,,
2005-01-05;08:00;722;749;1046;2;299.81;54.13;887.92;0.76;135.22;0.151406;0.000000;0.000000,,,,
2005-01-05;09:00;843;893;1209;2;300.67;49.42;887.51;0.51;108.51;0.124246;0.000000;0.000000,,,,
2005-01-05;10:00;897;965;1290;2;301.33;45.82;886.82;0.61;112.40;0.123647;0.000000;0.000000,,,,
2005-01-05;11:00;904;960;1282;2;301.55;43.91;886.02;0.96;137.87;0.085924;0.000000;0.000000,,,,
2005-01-05;12:00;712;876;1187;2;301.55;43.26;885.23;1.44;154.82;0.079385;0.000000;0.000000,,,,
2005-01-05;13:00;588;723;1011;2;301.31;43.71;884.73;2.03;163.29;0.060604;0.000000;0.000000,,,,
2005-01-05;14:00;466;512;766;2;300.64;45.90;884.77;2.76;167.24;0.047841;0.000000;0.000000,,,,
2005-01-05;15:00;239;270;468;2;299.65;50.48;885.21;3.57;169.81;0.024923;0.000000;0.000000,,,,
2005-01-05;16:00;44;56;140;5;297.48;61.61;885.72;3.69;172.37;0.012512;0.000000;0.000000,,,,
2005-01-05;17:00;0;0;0;1;295.81;69.62;886.26;4.00;174.40;0.007320;0.000000;0.000000,,,,
2005-01-05;18:00;0;0;0;1;295.12;73.03;886.74;3.73;177.14;0.001817;0.000000;0.000000,,,,
2005-01-05;19:00;0;0;0;1;294.59;75.12;887.01;3.36;180.83;0.000806;0.000000;0.000000,,,,
2005-01-05;20:00;0;0;0;1;294.15;76.29;886.82;3.16;184.49;0.000130;0.000000;0.000000,,,,
2005-01-05;21:00;0;0;0;1;293.76;77.10;886.43;3.17;186.22;0.000003;0.000000;0.000000,,,,
2005-01-05;22:00;0;0;0;1;293.47;77.59;885.95;3.23;185.74;0.000001;0.000000;0.000000,,,,
2005-01-05;23:00;0;0;0;1;293.34;77.67;885.50;3.14;182.31;0.000013;0.000000;0.000000,,,,
2005-01-05;24:00;0;0;0;1;293.57;76.14;885.32;2.77;176.06;0.000127;0.000000;0.000000,,,,
2005-01-06;01:00;0;0;0;1;294.15;73.38;885.48;2.06;168.04;0.000316;0.000000;0.000000,,,,
2005-01-06;02:00;0;0;0;1;294.59;71.40;885.88;1.20;155.45;0.001982;0.000000;0.000000,,,,
2005-01-06;03:00;0;0;0;1;294.50;71.71;886.37;0.53;127.40;0.009384;0.000000;0.000000,,,,
2005-01-06;04:00;0;0;1;5;293.77;75.10;886.77;0.34;64.53;0.024511;0.000000;0.000000,,,,
2005-01-06;05:00;53;78;189;2;294.19;76.84;887.26;0.39;38.07;0.036545;0.000000;0.000000,,,,
2005-01-06;06:00;275;303;516;2;296.23;68.27;887.80;0.52;83.68;0.068657;0.000000;0.000000,,,,
2005-01-06;07:00;538;547;807;2;298.57;58.34;887.90;1.08;101.64;0.070566;0.000000;0.000000,,,,
2005-01-06;08:00;745;756;1043;2;299.92;52.59;887.64;0.98;99.17;0.053558;0.000000;0.000000,,,,
2005-01-06;09:00;893;905;1208;2;300.93;47.93;887.08;0.90;101.67;0.046857;0.000000;0.000000,,,,
2005-01-06;10:00;974;982;1290;2;301.64;44.70;886.32;1.15;114.19;0.043542;0.000000;0.000000,,,,
2005-01-06;11:00;971;979;1284;2;302.01;43.11;885.35;1.65;127.56;0.041587;0.000000;0.000000,,,,
2005-01-06;12:00;887;899;1191;2;302.01;42.68;884.50;2.23;137.69;0.033575;0.000000;0.000000,,,,
2005-01-06;13:00;743;747;1016;2;301.75;43.13;884.01;2.77;146.08;0.018954;0.000000;0.000000,,,,
2005-01-06;14:00;529;538;771;2;301.23;44.56;883.92;3.19;153.21;0.006915;0.000000;0.000000,,,,
2005-01-06;15:00;272;293;474;2;300.23;48.77;884.08;3.53;160.36;0.004328;0.000000;0.000000,,,,
2005-01-06;16:00;51;65;145;5;297.92;61.24;884.38;3.35;167.72;0.002195;0.000000;0.000000,,,,
2005-01-06;17:00;0;0;0;1;296.20;69.05;884.87;3.86;172.29;0.001061;0.000000;0.000000,,,,
2005-01-06;18:00;0;0;0;1;295.65;72.31;885.49;3.98;175.67;0.000342;0.000000;0.000000,,,,
2005-01-06;19:00;0;0;0;1;295.18;74.69;885.97;3.83;179.50;0.000258;0.000000;0.000000,,,,
2005-01-06;20:00;0;0;0;1;294.75;76.30;886.00;3.68;184.48;0.000051;0.000000;0.000000,,,,
2005-01-06;21:00;0;0;0;1;294.41;77.24;885.77;3.66;189.07;0.000002;0.000000;0.000000,,,,
2005-01-06;22:00;0;0;0;1;294.11;77.91;885.37;3.68;193.41;0.000005;0.000000;0.000000,,,,
2005-01-06;23:00;0;0;0;1;293.79;78.91;884.92;3.66;197.43;0.000061;0.000000;0.000000,,,,
2005-01-06;24:00;0;0;0;1;293.56;79.53;884.67;3.51;200.78;0.000622;0.000000;0.000000,,,,
2005-01-07;01:00;0;0;0;1;293.61;78.73;884.77;3.09;205.76;0.001743;0.000000;0.000000,,,,
2005-01-07;02:00;0;0;0;1;293.83;77.43;885.19;2.34;217.11;0.012416;0.000000;0.000000,,,,
2005-01-07;03:00;0;0;0;1;293.59;78.36;885.73;1.71;241.35;0.037779;0.000000;0.000000,,,,
2005-01-07;04:00;0;0;1;5;292.98;81.34;886.23;1.63;268.36;0.058275;0.000000;0.000000,,,,
2005-01-07;05:00;58;97;190;2;293.76;79.98;886.86;1.89;279.09;0.067570;0.000000;0.000000,,,,
2005-01-07;06:00;220;343;516;2;295.81;70.56;887.32;1.94;276.99;0.144160;0.000000;0.000000,,,,
2005-01-07;07:00;438;587;808;2;298.06;60.32;887.31;1.77;274.29;0.141435;0.000000;0.000000,,,,
2005-01-07;08:00;210;791;1044;2;299.30;55.10;886.92;1.69;273.70;0.121472;0.000000;0.000000,,,,
2005-01-07;09:00;350;934;1209;2;300.20;51.07;886.17;1.52;271.07;0.116067;0.000000;0.000000,,,,
2005-01-07;10:00;592;1006;1291;2;300.68;48.04;885.29;1.16;262.55;0.092562;0.000000;0.000000,,,,
2005-01-07;11:00;793;999;1285;2;300.90;46.14;884.38;0.88;233.46;0.077685;0.000000;0.000000,,,,
2005-01-07;12:00;845;914;1192;2;301.02;45.49;883.62;1.12;194.68;0.060979;0.000000;0.000000,,,,
2005-01-07;13:00;741;760;1017;2;300.84;45.99;883.21;1.69;175.29;0.055300;0.000000;0.000000,,,,
2005-01-07;14:00;538;549;772;2;300.25;47.93;883.28;2.33;166.03;0.024429;0.000000;0.000000,,,,
2005-01-07;15:00;274;301;474;2;299.43;52.11;883.57;2.80;162.11;0.010625;0.000000;0.000000,,,,
2005-01-07;16:00;52;68;145;5;297.33;65.38;883.92;2.60;160.92;0.006992;0.000000;0.000000,,,,
2005-01-07;17:00;0;0;0;1;295.77;71.12;884.41;2.76;161.26;0.002861;0.000000;0.000000,,,,
2005-01-07;18:00;0;0;0;1;295.23;72.50;884.90;2.62;162.36;0.000584;0.000000;0.000000,,,,
2005-01-07;19:00;0;0;0;1;294.88;73.09;885.15;2.37;166.41;0.000142;0.000000;0.000000,,,,
2005-01-07;20:00;0;0;0;1;294.71;72.34;884.96;2.11;176.22;0.000153;0.000000;0.000000,,,,
2005-01-07;21:00;0;0;0;1;294.64;70.92;884.65;1.81;192.92;0.000050;0.000000;0.000000,,,,
2005-01-07;22:00;0;0;0;1;294.52;69.97;884.28;1.56;219.43;0.000017;0.000000;0.000000,,,,
2005-01-07;23:00;0;0;0;1;294.26;70.37;883.93;1.51;258.26;0.000007;0.000000;0.000000,,,,
2005-01-07;24:00;0;0;0;1;293.42;74.20;883.77;1.85;298.38;0.000003;0.000000;0.000000,,,,
2005-01-08;01:00;0;0;0;1;292.48;77.83;883.86;2.49;323.51;0.000041;0.000000;0.000000,,,,
2005-01-08;02:00;0;0;0;1;291.55;79.82;884.24;3.09;335.91;0.000358;0.000000;0.000000,,,,
2005-01-08;03:00;0;0;0;1;290.75;79.82;884.75;3.47;341.90;0.002208;0.000000;0.000000,,,,
2005-01-08;04:00;0;0;1;5;290.10;78.20;885.33;3.58;346.11;0.002371;0.000000;0.000000,,,,
2005-01-08;05:00;25;70;190;2;291.21;72.82;886.04;3.52;348.46;0.000108;0.000000;0.000000,,,,
2005-01-08;06:00;127;276;517;2;293.20;63.73;886.65;3.57;349.83;0.000018;0.000000;0.000000,,,,
2005-01-08;07:00;265;510;809;2;296.42;51.27;886.70;4.07;7.67;0.002102;0.000000;0.000000,,,,
2005-01-08;08:00;246;715;1045;2;298.86;46.30;886.29;4.42;21.27;0.017331;0.000000;0.000000,,,,
2005-01-08;09:00;456;861;1210;2;300.26;45.27;885.60;4.39;29.83;0.026886;0.000000;0.000000,,,,
2005-01-08;10:00;735;935;1293;2;300.98;44.32;884.74;4.24;34.94;0.024904;0.000000;0.000000,,,,
2005-01-08;11:00;557;930;1287;2;301.46;43.06;883.76;3.97;38.37;0.019411;0.000000;0.000000,,,,
2005-01-08;12:00;557;848;1193;2;301.69;41.89;882.87;3.58;41.47;0.014314;0.000000;0.000000,,,,
2005-01-08;13:00;602;697;1018;2;301.43;41.77;882.26;3.10;44.96;0.007473;0.000000;0.000000,,,,
2005-01-08;14:00;405;490;773;2;301.18;41.88;882.15;2.56;48.71;0.001259;0.000000;0.000000,,,,
2005-01-08;15:00;209;254;475;2;300.68;44.35;882.35;1.82;53.15;0.000058;0.000000;0.000000,,,,
2005-01-08;16:00;42;53;146;5;298.97;53.94;882.69;1.30;59.91;0.000005;0.000000;0.000000,,,,
2005-01-08;17:00;0;0;0;1;298.66;48.83;883.22;0.87;73.26;0.000001;0.000000;0.000000,,,,
2005-01-08;18:00;0;0;0;1;298.54;46.55;883.77;0.48;101.86;0.000000;0.000000;0.000000,,,,
2005-01-08;19:00;0;0;0;1;298.53;44.45;884.11;0.43;142.25;0.000000;0.000000;0.000000,,,,
2005-01-08;20:00;0;0;0;1;298.17;44.21;883.99;0.37;134.95;0.000000;0.000000;0.000000,,,,
2005-01-08;21:00;0;0;0;1;297.01;49.01;883.74;0.67;52.81;0.000000;0.000000;0.000000,,,,
2005-01-08;22:00;0;0;0;1;295.22;58.05;883.48;1.66;26.82;0.000003;0.000000;0.000000,,,,
2005-01-08;23:00;0;0;0;1;294.18;64.10;883.25;2.68;16.69;0.000008;0.000000;0.000000,,,,
2005-01-08;24:00;0;0;0;1;293.63;67.94;883.16;3.29;11.02;0.000013;0.000000;0.000000,,,,
2005-01-09;01:00;0;0;0;1;292.97;72.24;883.29;3.53;7.81;0.000010;0.000000;0.000000,,,,
2005-01-09;02:00;0;0;0;1;292.34;75.47;883.60;3.62;10.23;0.000004;0.000000;0.000000,,,,
2005-01-09;03:00;0;0;0;1;291.72;78.24;884.10;3.62;17.72;0.000006;0.000000;0.000000,,,,
2005-01-09;04:00;0;0;0;5;291.37;79.88;884.67;3.55;29.18;0.000700;0.000000;0.000000,,,,
2005-01-09;05:00;48;64;184;2;292.92;75.32;885.36;3.68;41.01;0.005368;0.000000;0.000000,,,,
2005-01-09;06:00;254;264;512;2;295.31;65.01;886.02;4.14;51.87;0.011344;0.000000;0.000000,,,,
2005-01-09;07:00;488;497;805;2;298.24;51.86;886.20;4.69;64.55;0.033859;0.000000;0.000000,,,,
2005-01-09;08:00;687;701;1043;2;299.93;47.07;885.99;4.60;67.37;0.047024;0.000000;0.000000,,,,
2005-01-09;09:00;835;848;1209;2;301.03;44.01;885.33;4.28;65.22;0.042131;0.000000;0.000000,,,,
2005-01-09;10:00;870;924;1293;2;301.80;41.39;884.39;3.89;62.19;0.032700;0.000000;0.000000,,,,
2005-01-09;11:00;859;922;1289;2;302.33;39.31;883.30;3.49;59.15;0.018237;0.000000;0.000000,,,,
2005-01-09;12:00;831;844;1196;2;302.54;38.08;882.33;3.06;57.67;0.008101;0.000000;0.000000,,,,
