episode,total_request,average_latency,average_reject_conservation,average_reject_low_power,average_reject_overload,average_rewards
0,719.0,0.19708510298499066,0.08344923504867872,0.17107093184979139,0.013908205841446454,0.14031631830511077
1,754.0,0.17426249375357056,0.11538461538461539,0.1896551724137931,0.010610079575596816,0.161562651365283
2,719.0,0.18427596624824152,0.11126564673157163,0.17107093184979139,0.005563282336578581,0.1592722403373337
3,754.0,0.1814068556430838,0.08090185676392574,0.1883289124668435,0.021220159151193633,0.165328504688786
