episode,total_request,average_latency,average_reject_conservation,average_reject_low_power,average_reject_overload,average_rewards
0,719.0,0.1914990692139174,0.09735744089012517,0.17107093184979139,0.009735744089012517,0.14733867552931848
1,754.0,0.17708176010551804,0.10477453580901856,0.1883289124668435,0.023872679045092837,0.15177859236249058
2,719.0,0.1872618092212415,0.09596662030598054,0.17107093184979139,0.011126564673157162,0.16005045550734603
3,754.0,0.1858600500510797,0.09151193633952255,0.1883289124668435,0.022546419098143235,0.14003258194225196
