episode,total_request,average_latency,average_reject_conservation,average_reject_low_power,average_reject_overload,average_rewards
0,719.0,0.1888627960427903,0.10152990264255911,0.17107093184979139,0.009735744089012517,0.15107503329026595
1,754.0,0.09083583333775742,0.05968169761273209,0.3156498673740053,0.27718832891246686,0.07497260608752344
2,719.0,0.1872304045070523,0.10013908205841446,0.17107093184979139,0.008344923504867872,0.15875384906576906
3,754.0,0.12372377896887649,0.08488063660477453,0.28249336870026526,0.15782493368700265,0.10362972410132808
4,719.0,0.16594930922787623,0.009735744089012517,0.23783031988873435,0.008344923504867872,0.2462410848337563
5,754.0,0.1574053385595369,0.01989389920424403,0.2493368700265252,0.013262599469496022,0.24529061562112384
